Model,Gamma,Label,Metric,Type,Score
xgboost,0,NR-AR,AUC,Test,0.71669627
xgboost,10,NR-AR,AUC,Test,0.731423919
xgboost,0,NR-AhR,AUC,Test,0.911993504
xgboost,10,NR-AhR,AUC,Test,0.899394955
xgboost,0,NR-AR-LBD,AUC,Test,0.686385918
xgboost,10,NR-AR-LBD,AUC,Test,0.73885918
xgboost,0,NR-ER,AUC,Test,0.781137856
xgboost,10,NR-ER,AUC,Test,0.780393873
xgboost,0,NR-ER-LBD,AUC,Test,0.833068783
xgboost,10,NR-ER-LBD,AUC,Test,0.782363316
xgboost,0,NR-Aromatase,AUC,Test,0.856306306
xgboost,10,NR-Aromatase,AUC,Test,0.82545045
xgboost,0,NR-PPAR-gamma,AUC,Test,0.856956779
xgboost,10,NR-PPAR-gamma,AUC,Test,0.828182356
xgboost,0,SR-ARE,AUC,Test,0.797388519
xgboost,10,SR-ARE,AUC,Test,0.789701897
xgboost,0,SR-ATAD5,AUC,Test,0.788757999
xgboost,10,SR-ATAD5,AUC,Test,0.769900136
xgboost,0,SR-HSE,AUC,Test,0.814649275
xgboost,10,SR-HSE,AUC,Test,0.737754264
xgboost,0,SR-MMP,AUC,Test,0.937595684
xgboost,10,SR-MMP,AUC,Test,0.933768317
xgboost,0,SR-p53,AUC,Test,0.81258881
xgboost,10,SR-p53,AUC,Test,0.815519538
